Date;Time;
15/01/1995;01:34:40;
15/01/1995;01:34:50;
15/01/1995;01:35:00;
15/01/1995;01:35:10;
15/01/1995;01:35:20;
15/01/1995;01:35:30;
15/01/1995;01:35:40;
15/01/1995;01:35:50;
15/01/1995;01:36:00;
15/01/1995;01:36:10;
15/01/1995;01:36:20;
15/01/1995;01:36:30;
15/01/1995;01:36:40;
15/01/1995;01:36:50;
15/01/1995;01:37:00;
15/01/1995;01:37:10;
15/01/1995;01:37:20;
15/01/1995;01:37:30;
15/01/1995;01:37:40;
15/01/1995;01:37:50;
15/01/1995;01:38:00;
15/01/1995;01:38:10;
15/01/1995;01:38:20;
15/01/1995;01:38:30;
15/01/1995;01:38:40;
15/01/1995;01:38:50;
15/01/1995;01:39:00;
15/01/1995;01:39:10;
15/01/1995;01:39:20;
15/01/1995;01:39:30;
15/01/1995;01:39:40;
15/01/1995;01:39:50;
15/01/1995;01:40:00;
15/01/1995;01:40:10;
15/01/1995;01:40:20;
15/01/1995;01:40:30;
15/01/1995;01:40:40;
15/01/1995;01:40:50;
15/01/1995;01:41:00;
15/01/1995;01:41:10;
15/01/1995;01:41:20;
15/01/1995;01:41:30;
15/01/1995;01:41:40;
15/01/1995;01:41:50;
15/01/1995;01:42:00;
15/01/1995;01:42:10;
15/01/1995;01:42:20;
15/01/1995;01:42:30;
15/01/1995;01:42:40;
15/01/1995;01:42:50;
15/01/1995;01:43:00;
15/01/1995;01:43:10;
15/01/1995;01:43:20;
15/01/1995;01:43:30;
15/01/1995;01:43:40;
15/01/1995;01:43:50;
15/01/1995;01:44:00;
15/01/1995;01:44:10;
15/01/1995;01:44:20;
15/01/1995;01:44:30;
15/01/1995;01:44:40;
15/01/1995;01:44:50;
15/01/1995;01:45:00;
15/01/1995;01:45:10;
15/01/1995;01:45:20;
15/01/1995;01:45:30;
15/01/1995;01:45:40;
15/01/1995;01:45:50;
15/01/1995;01:46:00;
15/01/1995;01:46:10;
15/01/1995;01:46:20;
15/01/1995;01:46:30;
15/01/1995;01:46:40;
15/01/1995;01:46:50;
15/01/1995;01:47:00;
15/01/1995;01:47:10;
15/01/1995;01:47:20;
15/01/1995;01:47:30;
15/01/1995;01:47:40;
15/01/1995;01:47:50;
15/01/1995;01:48:00;
15/01/1995;01:48:10;
15/01/1995;01:48:20;
15/01/1995;01:48:30;
15/01/1995;01:48:40;
15/01/1995;01:48:50;
15/01/1995;01:49:00;
15/01/1995;01:49:10;
15/01/1995;01:49:20;
15/01/1995;01:49:30;
15/01/1995;01:49:40;
